dataset,model,neighbours,weights,tasks_description,accuracy,precision,recall,f1,roc_auc,roc_auc_ovr
9952,knn,3,uniform,disbalanced_binary_tasks,0.8932268775244747,0.8454533654172419,0.779890136135658,0.810625214213309,0.9197170832542687,0.9197170832542687
9971,knn,3,uniform,disbalanced_binary_tasks,0.6501168907071888,0.3976608187134503,0.3860294117647059,0.3830364874800213,0.6248074229691876,0.6248074229691876
9977,knn,3,uniform,disbalanced_binary_tasks,0.9290854664978218,0.9534948410160556,0.9477289885430281,0.950269716946995,0.9532724796798518,0.9532724796798518
9978,knn,3,uniform,disbalanced_binary_tasks,0.9068423018268961,0.3186041683683193,0.1625,0.1915566573438427,0.700644379587278,0.700644379587278
10101,knn,3,uniform,disbalanced_binary_tasks,0.68190990990991,0.24521051864801863,0.3068627450980392,0.2514032597352817,0.5373896342162596,0.5373896342162596
6,knn,3,uniform,multiclass_tasks,0.9498000000000001,,,,,0.9922357891286021
11,knn,3,uniform,multiclass_tasks,0.7389144905273938,,,,,0.7471690068261809
12,knn,3,uniform,multiclass_tasks,0.967,,,,,0.9906555555555554
14,knn,3,uniform,multiclass_tasks,0.7959999999999999,,,,,0.9427069444444445
16,knn,3,uniform,multiclass_tasks,0.9594999999999999,,,,,0.9899083333333334
18,knn,3,uniform,multiclass_tasks,0.696,,,,,0.9127972222222223
22,knn,3,uniform,multiclass_tasks,0.794,,,,,0.9510527777777777
23,knn,3,uniform,multiclass_tasks,0.4555157198014341,,,,,0.6156340861420433
28,knn,3,uniform,multiclass_tasks,0.9727758007117437,,,,,0.9942857625131938
32,knn,3,uniform,multiclass_tasks,0.9933589213334436,,,,,0.9982389298586737
45,knn,3,uniform,multiclass_tasks,0.744514106583072,,,,,0.8712022982755118
53,knn,3,uniform,multiclass_tasks,0.7116106442577032,,,,,0.8830425113188982
2074,knn,3,uniform,multiclass_tasks,0.905909797822706,,,,,0.9740139152998226
2079,knn,3,uniform,multiclass_tasks,0.3701777119585339,,,,,0.6731723655066529
3022,knn,3,uniform,multiclass_tasks,0.6444444444444445,,,,,0.8713299663299663
3481,knn,3,uniform,multiclass_tasks,0.8950850860735328,,,,,0.9836012808983549
3549,knn,3,uniform,multiclass_tasks,0.994075630252101,,,,,0.9981727880063239
3560,knn,3,uniform,multiclass_tasks,0.19963607594936708,,,,,0.5315494652312834
3573,knn,3,uniform,multiclass_tasks,0.9455714285714285,,,,,0.9863699069032347
9960,knn,3,uniform,multiclass_tasks,0.7747766911987095,,,,,0.8926591604271443
9964,knn,3,uniform,multiclass_tasks,0.9108372641509433,,,,,0.9801175410429055
